e,s,g
생장,격려금,준법
친환경,재택근무,월권
환경혁신,상생,윤리
자연환경,인센티브,상명하복
환경친화,처우,지배구조
환경정화,복지,지배권
기후,보조금,지배주
에너지원,휴가,지배자
저탄소,노동,수직
청정,지역사회,의사회
생물에너지,저소득층,조정위
리사이클링,지역민,대주주
저감,안전,준수
탄소저감,야근,위반
탈수소,평등,관료주의
재생,기부,권위주의
연료전지,사회단체,독재
신재생,지구촌,지배력
태양광,나눔,창업주
태양열,사회봉사,이사회
환경문제,근로,기득권
대체재,건강,지분
그린,공익,의사결정
에너지효율,사회공헌,경영진
풍력,복리후생,리더십
바이오연료,취약계층,공정성
천연,공동체,임원진
녹색에너지,쉼터,오너
에코스틸,포용,감독
정화,모금,구조조정
친환경기술,보건,사내정치
기후위기,작업환경,투명성
생태계,봉사,이의제기
기후변화,인력개발,분권
탄소배출,휴가제,수평경영
공해,인권,권한
온난화,균형발전,감사보고
천연가스,휴게,비윤리
업사이클링,포상금,부패
재활용,위로금,청렴
지속성,보상제,세습
유해,워라벨,세대교체
화학제품,공동선,부도덕
전기차,바이오헬스,권력
오가닉,퇴근,남용
